N,ID,JName,SType,MLV,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,HP,Item,Cast,CastLv,CastLim,Range,Ele,Dat1_1,Dat1_2,Dat1_3,Dat1_4,Dat1_5,Dat1_6,Dat1_7,Dat1_8,Dat1_9,Dat1_10,Dat2_1,Dat2_2,Dat2_3,Dat2_4,Dat2_5,Dat2_6,Dat2_7,Dat2_8,Dat2_9,Dat2_10,Range2,Icon,Job1,Req1_1,RLV1_1,Req1_2,RLV1_2,Req1_3,RLV1_3,Req1_4,RLV1_4,Req1_5,RLV1_5,Job2,Req2_1,RLV2_1,Req2_2,RLV2_2,Req2_3,RLV2_3,Req2_4,RLV2_4,Req2_5,RLV2_5,B1,BLV1,B2,BLV2,B3,BLV3,B4,BLV4,B5,BLV5,UnKnown
112,BS_WEAPONPERFECT,Weapon_Perfection,4,5,18,16,14,12,10,,,,,,,,,,,,,10,20,30,40,50,,,,,,,,,,,,,,,,,24,1024,107,2,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,BS_OVERTHRUST,Power_Thrust,4,5,18,16,14,12,10,,,,,,,,,,,,,20,40,60,80,100,,,,,,,,,,,,,,,,,25,1024,111,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,BS_MAXIMIZE,Maximize_Power,4,5,10,10,10,10,10,,,,,,,,,,,,,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,26,1024,112,3,113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,HT_SKIDTRAP,Skid_Trap,2,5,10,10,10,10,10,,,,,,,,,,,1,,300,240,180,120,60,,,,,,12,14,16,18,20,,,,,,1,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,HT_LANDMINE,Land_Mine,2,5,10,10,10,10,10,,,,,,,,,,,1,2,65,50,35,20,5,,,,,,50,75,100,125,150,,,,,,1,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,HT_ANKLESNARE,Ankle_Snare,2,5,12,12,12,12,12,,,,,,,,,,,1,,250,200,150,100,50,,,,,,5,10,15,20,25,,,,,,1,,2048,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,HT_SHOCKWAVE,Shockwave,2,5,45,45,45,45,45,,,,,,,,,,,1,,200,160,120,80,40,,,,,,25,40,55,70,85,,,,,,1,,2048,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,HT_SANDMAN,Sand_Man,2,5,12,12,12,12,12,,,,,,,,,,,1,,,,,,,,,,,,38,41,44,47,50,,,,,,1,,2048,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,HT_FLASHER,Flasher,2,5,12,12,12,12,12,,,,,,,,,,,1,,,,,,,,,,,,38,41,44,47,50,,,,,,1,,2048,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,HT_FREEZINGTRAP,Freezing_Trap,2,5,10,10,10,10,10,,,,,,,,,,,1,,,,,,,,,,,,38,41,44,47,50,,,,,,1,,2048,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,HT_BLASTMINE,Blast_Mine,2,5,10,10,10,10,10,,,,,,,,,,,1,3,,,,,,,,,,,10,8,6,4,2,,,,,,1,,2048,119,1,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,HT_CLAYMORETRAP,Claymore_Trap,2,5,15,15,15,15,15,,,,,,,,,,,1,2,,,,,,,,,,,20,40,60,80,100,,,,,,1,,2048,118,1,122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,HT_REMOVETRAP,Remove_Trap,2,1,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2048,116,1,,,,,,,,,131072,46,5,,,,,,,,,,,,,,,,,,,
125,HT_TALKIEBOX,Talkie_Box,2,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2048,118,1,124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,HT_BEASTBANE,Beast_Bane,0,10,,,,,,,,,,,,,,,,1,,4,8,12,16,20,24,28,32,36,40,,,,,,,,,,,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,HT_FALCON,Falcon_Mastery,0,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,28,2048,126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,HT_STEELCROW,Steel_Crow,0,10,,,,,,,,,,,,,,,,1,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,2048,129,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,HT_BLITZBEAT,Blitz_Beat,1,5,10,13,16,19,22,,,,,,,,1000,,,15,,,,,,,,,,,,,,,,,,,,,,2,,2048,127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,HT_DETECTING,Detecting,4,4,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,HT_SPRINGTRAP,Spring_Trap,2,5,10,10,10,10,10,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2048,124,1,127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,AS_RIGHT,Right_Hand_Mastery,0,5,,,,,,,,,,,,,,,,,,60,70,80,90,100,,,,,,50,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,AS_LEFT,Left_Hand_Mastery,0,5,,,,,,,,,,,,,,,,,,40,50,60,70,80,,,,,,30,,,,,,,,,,,,4096,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,AS_KATAR,Katar_Mastery,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,AS_CLOAKING,Cloaking,4,5,15,15,15,15,15,,,,,,,,,,,,,4,5,6,7,8,,,,,,,,,,,,,,,,,5,4096,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,AS_SONICBLOW,Sonic_Blow,1,10,16,18,20,22,24,26,28,30,32,34,,,,,,1,,350,400,450,500,550,600,650,700,750,800,12,14,16,18,20,22,24,26,28,30,,,4096,134,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,AS_GRIMTOOTH,Grim_Tooth,1,5,2,2,2,2,2,,,,,,,,,,,6,,100,100,100,100,100,100,100,100,100,100,3,4,5,6,7,,,,,,1,,4096,135,2,136,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,AS_ENCHANTPOISON,Enchant_Poison,16,10,20,20,20,20,20,20,20,20,20,20,,,,,,9,,30,45,60,75,90,105,120,135,150,165,3,3,4,4,5,5,6,6,7,7,,6,4096,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,AS_POISONREACT,Poison_React,16,10,30,30,27,27,24,24,21,21,18,18,,,,,,9,,130,160,190,220,250,280,310,340,370,400,20,40,60,80,100,120,140,160,180,200,,7,4096,138,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,AS_VENOMDUST,Venom_Dust,2,10,20,20,20,20,20,20,20,20,20,20,,,,,,,,5,10,15,20,25,30,35,40,45,60,,,,,,,,,,,1,,4096,138,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,AS_SPLASHER,Splasher,1,10,33,36,39,42,45,48,51,54,57,60,,,1000,,,10,5,220,240,260,280,300,320,340,360,380,400,2,2,3,3,4,4,5,5,6,6,,,4096,139,5,140,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,NV_FIRSTAID,Emergency_Care,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10477567,142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,NV_TRICKDEAD,Act_Dead,4,1,5,,,,,,,,,,,,,,,,,30,60,90,120,150,180,210,240,270,300,,,,,,,,,,,,29,8388609,143,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,SM_MOVINGRECOVERY,Moving_HP_Recovery,0,1,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,16514,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,SM_FATALBLOW,Attack_Weak_Point,0,1,,,,,,,,,,,,,,,,,,,,,,,6,12,18,24,30,,,,,,,,,,,,,16514,145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,SM_AUTOBERSERK,Auto_Berserk,0,1,,,,,,,,,,,,,,,,,,25,20,60,,,,,,,,,,,,,,,,,,,,16514,146,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,AC_MAKINGARROW,Arrow_Creation,4,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574920,147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,AC_CHARGEARROW,Charge_Arrow,1,1,15,,,,,,,,,,,,1500,,,9,,150,,,,,,,,,,,,,,,,,,,,,,1574920,148,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,TF_SPRINKLESAND,Throw_Sand,1,1,9,,,,,,,,,,,,,,,1,2,125,25,,,,,,,,,,,,,,,,,,,,,135232,149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,TF_BACKSLIDING,Back_Sliding,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135232,150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,TF_PICKSTONE,Take_Stone,4,1,2,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,135232,151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,TF_THROWSTONE,Stone_Throw,1,1,2,,,,,,,,,,,,1000,,,7,,30,,,,,,,,,,,,,,,,,,,,,,135232,153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,MC_CARTREVOLUTION,Cart_Revolution,1,1,12,,,,,,,,,,,,,,,1,,101,,,,,,,,,,,,,,,,,,,,2,,263200,153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,MC_CHANGECART,Change_Cart,4,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263200,154,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,MC_LOUD,Crazy_Uproar,4,1,8,,,,,,,,,,,,,,,,,300,,,,,,,,,,4,,,,,,,,,,,30,263200,155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,AL_HOLYLIGHT,Holy_Light,1,1,15,,,,,,,,,,,,1500,,,9,6,125,,,,,,,,,,1,,,,,,,,,,,,33040,156,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,MG_ENERGYCOAT,Energy_Coat,4,1,30,,,,,,,,,,,,5000,,,9,,300,6,12,12,18,18,24,24,30,30,10,10,15,15,20,20,25,25,30,30,,31,66052,157,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,NPC_PIERCINGATT,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,NPC_MENTALBREAKER,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,NPC_RANGEATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,NPC_ATTRICHANGE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,NPC_CHANGEWATER,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,NPC_CHANGEGROUND,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,NPC_CHANGEFIRE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,NPC_CHANGEWIND,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,NPC_CHANGEPOISON,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,NPC_CHANGEHOLY,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,NPC_CHANGEDARKNESS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,NPC_CHANGETELEKINESIS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,NPC_CRITICALSLASH,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,NPC_COMBOATTACK,,1,1,1,,,,,,,,,,,,,,,1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,NPC_GUIDEDATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,NPC_SELFDESTRUCTION,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,NPC_SPLASHATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,NPC_SUICIDE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,NPC_POISON,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,NPC_BLINDATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,NPC_SILENCEATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,NPC_STUNATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,NPC_PETRIFYATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,NPC_CURSEATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,NPC_SLEEPATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,NPC_RANDOMATTACK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,NPC_WATERATTACK,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,NPC_GROUNDATTACK,,0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,NPC_FIREATTACK,,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,NPC_WINDATTACK,,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,NPC_POISONATTACK,,0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,NPC_HOLYATTACK,,0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,NPC_DARKNESSATTACK,,0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,NPC_TELEKINESISATTACK,,1,10,1,1,1,1,1,1,1,1,1,1,,,,,,,,100,200,300,400,500,600,700,800,900,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,NPC_MAGICALATTACK,,1,10,1,1,1,1,1,1,1,1,1,1,,,,,,,,100,200,300,400,500,600,700,800,900,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,NPC_METAMORPHOSIS,,0,10,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,NPC_PROVOCATION,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,NPC_SMOKING,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,NPC_SUMMONSLAVE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,NPC_EMOTION,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,NPC_TRANSFORMATION,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,NPC_BLOODDRAIN,,1,10,1,1,1,1,1,1,1,1,1,1,,,,,,1,,100,150,200,259,300,350,400,450,500,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,NPC_ENERGYDRAIN,,1,10,1,1,1,1,1,1,1,1,1,1,,,,,,1,,200,300,400,500,600,700,800,900,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,NPC_KEEPING,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,NPC_DARKBREATH,,1,10,1,1,1,1,1,1,1,1,1,1,,,,,,1,,200,300,400,500,600,700,800,900,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,NPC_DARKBLESSING,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,NPC_BARRIER,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,NPC_DEFENDER,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,NPC_LICK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,NPC_HALLUCINATION,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,NPC_REBIRTH,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,NPC_SUMMONMONSTER,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,RG_SNATCHER,Snatcher,0,10,,,,,,,,,,,,,,,,,,7,8,10,11,13,14,16,17,19,20,,,,,,,,,,,,,131072,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,RG_STEALCOIN,Steal_Coin,1,10,15,15,15,15,15,15,15,15,15,15,,,500,,,1,,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,131072,210,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,RG_BACKSTAP,Back_Stab,1,10,12,12,12,12,12,12,12,12,12,12,,,,,,1,,340,380,420,460,500,540,580,620,660,700,,,,,,,,,,,,,131072,211,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,RG_TUNNELDRIVE,Tunnel_Drive,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,,,,,,,,131072,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,RG_RAID,Raid,4,5,25,25,25,25,25,,,,,,,,,,,1,,140,180,220,260,300,,,,,,13,16,19,22,25,,,,,,3,,131072,213,2,212,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,RG_STRIPWEAPON,Strip_Weapon,1,5,17,19,21,23,25,,,,,,,,1000,,,1,,90,90,90,90,90,,,,,,7,9,11,13,15,,,,,,,,131072,217,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,RG_STRIPSHIELD,Strip_Shield,1,5,12,14,16,18,20,,,,,,,,1000,,,1,,85,85,85,85,85,,,,,,7,9,11,13,15,,,,,,,,131072,218,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,RG_STRIPARMOR,Strip_Armor,1,5,12,14,16,18,20,,,,,,,,1000,,,1,,60,60,60,60,60,,,,,,7,9,11,13,15,,,,,,,,131072,216,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,RG_STRIPHELM,Strip_Helm,1,5,12,14,16,18,20,,,,,,,,1000,,,1,,60,60,60,60,60,,,,,,7,9,11,13,15,,,,,,,,131072,211,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,RG_INTIMIDATE,Intimidate,1,5,13,16,19,22,25,,,,,,,,,,,1,,130,160,190,220,250,,,,,,,,,,,,,,,,,,131072,214,5,212,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,RG_GRAFFITI,Graffiti,2,1,15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,131072,221,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,RG_FLAGGRAFFITI,Flag_Graffiti,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131072,222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,RG_CLEANER,Cleaner,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131072,223,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,RG_GANGSTER,Gangster_Paradise,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131072,216,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,RG_COMPULSION,Compulsion_Discount,0,5,,,,,,,,,,,,,,,,,,91,87,83,79,75,,,,,,,,,,,,,,,,,,131072,223,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,RG_PLAGIARISM,Plagiarism,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131072,219,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,AM_AXEMASTERY,Axe_Mastery,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,AM_LERNINGPOTION,Learning_Potion,0,10,,,,,,,,,,,,,,,,,,105,110,115,120,125,130,135,140,145,150,,,,,,,,,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,AM_PHARMACY,Pharmacy,4,10,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,227,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,AM_DEMONSTRATION,Demonstration,2,5,10,10,10,10,10,,,,,,,,1000,,,9,3,41,42,43,44,45,,,,,,120,140,160,180,200,,,,,,1,,262144,228,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,AM_ACIDTERROR,Acid_Terror,1,5,15,15,15,15,15,,,,,,,,1000,,,9,5,1,1,1,1,1,,,,,,140,180,220,260,300,,,,,,,,262144,228,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,AM_POTIONPITCHER,Potion_Pitcher,16,5,1,1,1,1,1,,,,,,,,0,,,9,,110,120,130,140,150,,,,,,501,502,503,504,505,,,,,,,,262144,228,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,AM_CANNIBALIZE,Bio_Cannibalize,1,5,20,20,20,20,20,,,,,,,,,,,,,40,50,60,70,80,,,,,,,,,,,,,,,,,,262144,228,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,AM_SPHEREMINE,Sphere_Mine,2,5,10,10,10,10,10,,,,,,,,2000,,,1,,30,30,30,30,30,,,,,,,,,,,,,,,,2,,262144,228,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,AM_CP_WEAPON,Chemical_Protection_-_Weapon,16,5,30,30,30,30,30,,,,,,,,,,,5,,60,120,180,240,300,,,,,,,,,,,,,,,,,,262144,236,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,AM_CP_SHIELD,Chemical_Protection_-_Shield,16,5,25,25,25,25,25,,,,,,,,,,,5,,60,120,180,240,300,,,,,,,,,,,,,,,,,,262144,237,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,AM_CP_ARMOR,Chemical_Protection_-_Armor,16,5,25,25,25,25,25,,,,,,,,,,,5,,60,120,180,240,300,,,,,,,,,,,,,,,,,,262144,235,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,AM_CP_HELM,Chemical_Protection_-_Helmet,16,5,20,20,20,20,20,,,,,,,,,,,5,,60,120,180,240,300,,,,,,,,,,,,,,,,,,262144,228,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,AM_BIOETHICS,Bioethics,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,AM_BIOTECHNOLOGY,Biotechnology,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,AM_CREATECREATURE,Create_Creature,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262144,239,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
